index,title,author,dynasty,content,favor
19,登楼,杜甫,唐,花近高楼伤客心，万方多难此登临。可怜后主还祠庙，日暮聊为《梁甫吟》。北极朝廷终不改，西山寇盗莫相侵。锦江春色来天地，玉垒浮云变古今。,77.0
20,登兖州城楼,杜甫,唐,孤嶂秦碑在，荒城鲁殿馀。从来多古意，临眺独踌躇。浮云连海岱，平野入青徐。东郡趋庭日，南楼纵目初。,629.0
21,登岳阳楼,杜甫,唐,昔闻洞庭水，今上岳阳楼。吴楚东南坼，乾坤日夜浮。亲朋无一字，老病有孤舟。戎马关山北，凭轩涕泗流。,32.0
22,对雪,杜甫,唐,战哭多新鬼，愁吟独老翁。乱云低薄暮，急雪舞回风。瓢弃尊无绿，炉存火似红。数州消息断，愁坐正书空。,81.0
23,对雨书怀，走邀许十一簿公,杜甫,唐,相邀愧泥泞，骑马到阶除。座对贤人酒，门听长者车。震雷翻幕燕，骤雨落河鱼。东岳云峰起，溶溶满太虚。,861.0
24,奉济驿重送严公四韵,杜甫,唐,远送从此别，青山空复情。几时杯重把？昨夜月同行。列郡讴歌惜，三朝出入荣。江村独归处，寂寞养残生。,309.0
25,阁夜,杜甫,唐,卧龙跃马终黄土，人事音书漫寂寥。五更鼓角声悲壮，三峡星河影动摇。岁暮阴阳催短景，天涯霜雪霁寒宵。野哭几家闻战伐，夷歌数处起渔樵。,139.0
26,观公孙大娘弟子舞剑器行,杜甫,唐,先帝侍女八千人，公孙剑器初第一。金粟堆前木已拱，瞿唐石城草萧瑟。五十年间似反掌，风尘澒动昏王室。大历二年十月十九日，夔府别驾元持宅，见临颍李十二娘舞剑器，壮其蔚跂，问其所师，曰：“余公孙大娘弟子也。”开元五载，余尚童稚，记于郾城观公孙氏，舞剑器浑脱，浏漓顿挫，独出冠时，自高头宜春梨园二伎坊内人洎外供奉，晓是舞者，圣文神武皇帝初，公孙一人而已。玉貌锦衣，况余白首，今兹弟子，亦非盛颜。既辨其由来，知波澜莫二，抚事慷慨，聊为《剑器行》。昔者吴人张旭，善草书帖，数常于邺县见公孙大娘舞西河剑器，自此草书长进，豪荡感激，即公孙可知矣。临颍美人在白帝，妙舞此曲神扬扬。梨园弟子散如烟，女乐余姿映寒日。昔有佳人公孙氏，一舞剑器动四方。来如雷霆收震怒，罢如江海凝清光。㸌如羿射九日落，矫如群帝骖龙翔。观者如山色沮丧，天地为之久低昂。绛唇珠袖两寂寞，晚有弟子传芬芳。与余问答既有以，感时抚事增惋伤。玳筵急管曲复终，乐极哀来月东出。老夫不知其所往，足茧荒山转愁疾。,207.0
27,归雁,杜甫,唐,东来万里客，乱定几年归？肠断江城雁，高高向北飞。,638.0
28,奉和贾至舍人早朝大明宫,杜甫,唐,五夜漏声催晓箭，九重春色醉仙桃。旌旗日暖龙蛇动，宫殿风微燕雀高。朝罢香烟携满袖，诗成珠玉在挥毫。欲知世掌丝纶美，池上于今有凤毛。,343.0
29,后出塞五首,杜甫,唐,六合已一家，四夷且孤军。落日照大旗，马鸣风萧萧。朝进东门营，暮上河阳桥。我本良家子，出师亦多门。少年别有赠，含笑看吴钩。平沙列万幕，部伍各见招。边人不敢议，议者死路衢。斑白居上列，酒酣进庶羞。借问大将谁？恐是霍嫖姚。跃马二十年，恐辜明主恩。岂知英雄主，出师亘长云。悲笳数声动，壮士惨不骄。献凯日继踵，两蕃静无虞。将骄益愁思，身贵不足论。闾里送我行，亲戚拥道周。中天悬明月，令严夜寂寥。坐见幽州骑，长驱河洛昏。战伐有功业，焉能守旧丘？恶名幸脱免，穷老无儿孙。誓开玄冥北，持以奉吾君！主将位益崇，气骄凌上都：云帆转辽海，粳稻来东吴。越罗与楚练，照耀舆台躯。渔阳豪侠地，击鼓吹笙竽。中夜间道归，故里但空村。召募赴蓟门，军动不可留。男儿生世间，及壮当封侯。古人重守边，今人重高勋。千金买马鞍，百金装刀头。遂使貔虎士，奋身勇所闻。拔剑击大荒，日收胡马群；,444.0
30,画鹰,杜甫,唐,何当击凡鸟，毛血洒平芜。㧐身思狡兔，侧目似愁胡。素练风霜起，苍鹰画作殊。绦镟光堪擿，轩楹势可呼。,458.0
31,寄韩谏议注,杜甫,唐,鸿飞冥冥日月白，青枫叶赤天雨霜。美人娟娟隔秋水，濯足洞庭望八荒。今我不乐思岳阳，身欲奋飞病在床。星宫之君醉琼浆，羽人稀少不在旁。玉京群帝集北斗，或骑麒麟翳凤凰。似闻昨者赤松子，恐是汉代韩张良。昔随刘氏定长安，帷幄未改神惨伤。美人胡为隔秋水，焉得置之贡玉堂。周南留滞古所惜，南极老人应寿昌。芙蓉旌旗烟雾落，影动倒景摇潇湘。国家成败吾岂敢，色难腥腐餐风香。,933.0
32,寄李十二白二十韵,杜甫,唐,昔年有狂客，号尔谪仙人。五岭炎蒸地，三危放逐臣。已用当时法，谁将此义陈。苏武先还汉，黄公岂事秦。乞归优诏许，遇我宿心亲。文采承殊渥，流传必绝伦。龙舟移棹晚，兽锦夺袍新。几年遭鵩鸟，独泣向麒麟。老吟秋月下，病起暮江滨。楚筵辞醴日，梁狱上书辰。剧谈怜野逸，嗜酒见天真。醉舞梁园夜，行歌泗水春。未负幽栖志，兼全宠辱身。莫怪恩波隔，乘槎与问津。稻粱求未足，薏苡谤何频。声名从此大，汩没一朝伸。笔落惊风雨，诗成泣鬼神。处士祢衡俊，诸生原宪贫。才高心不展，道屈善无邻。白日来深殿，青云满后尘。,179.0
33,佳人,杜甫,唐,在山泉水清，出山泉水浊。侍婢卖珠回，牵萝补茅屋。摘花不插发，采柏动盈掬。合昏尚知时，鸳鸯不独宿。天寒翠袖薄，日暮倚修竹。关中昔丧乱，兄弟遭杀戮。但见新人笑，那闻旧人哭。夫婿轻薄儿，新人美如玉。自云良家子，零落依草木。绝代有佳人，幽居在空谷。官高何足论，不得收骨肉。世情恶衰歇，万事随转烛。,928.0
34,江村,杜甫,唐,但有故人供禄米，微躯此外更何求？自去自来堂上燕，相亲相近水中鸥。老妻画纸为棋局，稚子敲针作钓钩。清江一曲抱村流，长夏江村事事幽。,997.0
35,江汉,杜甫,唐,江汉思归客，乾坤一腐儒。片云天共远，永夜月同孤。古来存老马，不必取长途。落日心犹壮，秋风病欲苏。,396.0
36,江南逢李龟年,杜甫,唐,岐王宅里寻常见，崔九堂前几度闻。正是江南好风景，落花时节又逢君。,357.0
37,江畔独步寻花七绝句,杜甫,唐,江上被花恼不彻，无处告诉只颠狂。诗酒尚堪驱使在，未须料理白头人。桃花一簇开无主，可爱深红爱浅红？稠花乱蕊畏江滨，行步欹危实怕春。报答春光知有处，应须美酒送生涯。谁能载酒开金盏，唤取佳人舞绣筵。走觅南邻爱酒伴，经旬出饮独空床。黄师塔前江水东，春光懒困倚微风。江深竹静两三家，多事红花映白花。东望少城花满烟，百花高楼更可怜。黄四娘家花满蹊，千朵万朵压枝低。繁枝容易纷纷落，嫩蕊商量细细开。留连戏蝶时时舞，自在娇莺恰恰啼。不是爱花即欲死，只恐花尽老相催。,769.0
38,绝句·迟日江山丽,杜甫,唐,泥融飞燕子，沙暖睡鸳鸯。迟日江山丽，春风花草香。,920.0
39,绝句二首·其二,杜甫,唐,江碧鸟逾白，山青花欲燃。今春看又过，何日是归年？,874.0
40,绝句,杜甫,唐,窗含西岭千秋雪，门泊东吴万里船。两个黄鹂鸣翠柳，一行白鹭上青天。,640.0
41,客至,杜甫,唐,花径不曾缘客扫，蓬门今始为君开。盘飧市远无兼味，樽酒家贫只旧醅。舍南舍北皆春水，但见群鸥日日来。肯与邻翁相对饮，隔篱呼取尽馀杯。,426.0
42,丽人行,杜甫,唐,态浓意远淑且真，肌理细腻骨肉匀。杨花雪落覆白苹，青鸟飞去衔红巾。犀箸厌饫久未下，鸾刀缕切空纷纶。黄门飞鞚不动尘，御厨络绎送八珍。炙手可热势绝伦，慎莫近前丞相嗔！紫驼之峰出翠釜，水精之盘行素鳞。箫鼓哀吟感鬼神，宾从杂遝实要津。背后何所见？珠压腰衱稳称身。头上何所有？翠微盍叶垂鬓唇。就中云幕椒房亲，赐名大国虢与秦。绣罗衣裳照暮春，蹙金孔雀银麒麟。后来鞍马何逡巡，当轩下马入锦茵。三月三日天气新，长安水边多丽人。,32.0
43,刘九法曹郑瑕丘石门宴集,杜甫,唐,秋水清无底，萧然静客心。掾曹乘逸兴，鞍马到荒林。能吏逢联璧，华筵直一金。晚来横吹好，泓下亦龙吟。,906.0
44,旅夜书怀,杜甫,唐,细草微风岸，危樯独夜舟。飘飘何所似，天地一沙鸥。名岂文章著，官应老病休。星垂平野阔，月涌大江流。,203.0
45,漫成一首,杜甫,唐,江月去人只数尺，风灯照夜欲三更。沙头宿鹭联拳静，船尾跳鱼拨剌鸣。,111.0
46,绝句漫兴九首（其五）,杜甫,唐,肠断春江欲尽头，杖藜徐步立芳洲。颠狂柳絮随风去，轻薄桃花逐水流。,261.0
